Sr No,Product Name,,BoM,Material,Surface Finish,Surface Area(mm2),Thickness(mm),Unit Weight(kg),Total Weight(kg),UoM,Quantity
1,DR02-04-16-003_R3,CANISTER DIVISION PLATE-3,"DR02-04-16-000SA_R3] DRAWER FUNNEL, DR02-04-14-000SA_R1] DRAWER FUNNEL",1060 Alloy,STANDARD,7301.6,1,0.01,0.7,Unit,70
2,DR02-04-16-005_R3,FRONT COVER FUNNEL,DR02-04-16-000SA_R3] DRAWER FUNNEL,1060 Alloy,STANDARD,22209.43,1,0.03,1.5,Unit,50
3,DR02-04-16-006_R3,FULL DIVISION,DR02-04-16-000SA_R3] DRAWER FUNNEL,1060 Alloy,STANDARD,53373.96,1,0.07,10.5,Unit,150
4,DR02-04-16-007_R3,CANISTER DIVISION PLATE,"DR02-04-16-000SA_R3] DRAWER FUNNEL, DR02-04-14-000SA_R1] DRAWER FUNNEL",1060 Alloy,STANDARD,15322.21,1,0.02,1171.2,Unit,210
5,DR02-04-16-008_R3,CANISTER DIVISION PLATE-2,"DR02-04-16-000SA_R3] DRAWER FUNNEL, DR02-04-14-000SA_R1] DRAWER FUNNEL",1060 Alloy,STANDARD,15106.45,1,0.02,8.4,Unit,420
6,DR02-04-16-009_R3,REAR COVER FUNNEL,DR02-04-16-000SA_R3] DRAWER FUNNEL,1060 Alloy,STANDARD,23279.58,1,0.03,1.5,Unit,50
7,DR02-04-16-010_R3,STOPPER,"DR02-04-16-000SA_R3] DRAWER FUNNEL, DR02-04-14-000SA_R1] DRAWER FUNNEL",1060 Alloy,STANDARD,3154.31,1,0,0,Unit,70
8,DR02-04-16-011_R3,HALF DIVISION,DR02-04-16-000SA_R3] DRAWER FUNNEL,1060 Alloy,STANDARD,23741.56,1,0.03,1.5,Unit,50
9,DR02-04-16-014_R3,RIVET HIDING PART,"DR02-04-16-000SA_R3] DRAWER FUNNEL, DR02-04-14-000SA_R1] DRAWER FUNNEL",1060 Alloy,STANDARD,3465.99,1,0,0,Unit,560
10,DR02-04-16-016_R3,CANISTER DIVISION PLATE-3,"DR02-04-16-000SA_R3] DRAWER FUNNEL, DR02-04-14-000SA_R1] DRAWER FUNNEL",1060 Alloy,STANDARD,7301.6,1,0.01,0.7,Unit,70
