Sr No,Product Name,,BoM,Material,Surface Finish,Surface Area(mm2),Thickness(mm),Unit Weight(kg),Total Weight(kg),UoM,Quantity
1,DD01-04-40-002_R3,TOP PF DOOR-1,DD01-04-40-000SA_R6] GANTRY PF TRAY,AISI 316 Stainless Steel Sheet (SS),STANDARD,43311.61,0.6,0.1,0.2,Unit,2
2,DD01-04-48-024_R2,Bottom PF Door,DD01-04-48-000SA_R5] BOTTOM PF TRAY,AISI 316 Stainless Steel Sheet (SS),STANDARD,248702.66,0.6,0.59,1.18,Unit,2
,,,,,,,,,,,
3,DR02-04-16-025_R2,FUNNEL HANDLE MTG PART,DR02-04-16-000SA_R3] DRAWER FUNNEL,AISI 1020,POWDER COATING,0,1,0.11,5.5,Unit,50
4,DR02-04-02-009,Ethernet/Powder MTG,"DR02-04-02-000SA_R3] DRAWER MAIN CASING, DR02-04-06-000SA_R1] DRAWER MAIN CASING, MD01-02-01-000SA_R1] MFD MAIN CASING",AISI 1020,POWDER COATING,26144.93,1,0.1,8,Unit,80
5,DR02-04-02-032_R6,BOTTOM C OF OUTER CASING,DR02-04-02-000SA_R3] DRAWER MAIN CASING,AISI 1020,POWDER COATING,967108.87,1,3.82,191,Unit,50
6,DR02-04-02-033_R4,UPPER C OF OUTER CASING,DR02-04-02-000SA_R3] DRAWER MAIN CASING,AISI 1020,POWDER COATING,959483.93,1,3.8,190,Unit,50
7,DR02-04-18-001_R1,DRAWER FRONT COVER,"DR02-04-18-000SA] DRAWER FRONT PANEL, DR02-04-19-000SA] DRAWER FRONT PANEL",AISI 1020,POWDER COATING,108483.77,1,0.43,43,Unit,100
8,DR02-04-10-001_R4,Drawer Door,DR02-04-10-000SA_R1] DOOR+WIRE ROUTING COVER,AISI 1020,Powder Coating,206325.64,1,0.81,40.5,Unit,50
9,DR02-04-16-021_R1,FUNNEL HANDLE + FRONT PANEL GAP HIDE PART,DR02-04-16-000SA_R3] DRAWER FUNNEL,AISI 1020,POWDER COATING,0,1,0.2,10,Unit,50
10,DR02-04-16-025_R2,FUNNEL HANDLE MTG PART,DR02-04-16-000SA_R3] DRAWER FUNNEL,AISI 1021,POWDER COATING,0,1,0.11,5.5,Unit,50
11,DR02-04-14-021_R1,FUNNEL HANDLE + FRONT PANEL GAP HIDE PART,DR02-04-14-000SA_R1] DRAWER FUNNEL,AISI 1020,POWDER COATING,55259.59,1,213.74,4274.8,Unit,20
12,DR02-04-14-025_R2,FUNNEL HANDLE MTG PART,DR02-04-14-000SA_R1] DRAWER FUNNEL,AISI 1020,POWDER COATING,43210.49,1,0.17,3.4,Unit,20
13,DR02-04-15-001_R2,Drawer Door,DR02-04-15-000SA_R1] DOOR+WIRE ROUTING COVER,AISI 1020,Powder Coating,206325.64,1,0.81,16.2,Unit,20
14,MD01-02-07-001,DRAWER FRONT COVER,"MD01-02-09-000SA] DRAWER FRONT PANEL-RIGHT, MD01-02-07-000SA] DRAWER FRONT PANEL-LEFT",AISI 1020,POWDER COATING,85847.71,1,0.34,6.8,Unit,20
15,MD01-02-06-022,FUNNEL HANDLE MTG PART,MD01-02-06-000SA_R3] MFD DRAWER FUNNEL,AISI 1020,POWDER COATING,24301.57,1,0.09,0.9,Unit,10
16,MD01-02-06-023,FUNNEL HANDLE + FRONT PANEL GAP HIDE PART,MD01-02-06-000SA_R3] MFD DRAWER FUNNEL,AISI 1020,POWDER COATING,33989.45,1,0.13,1.3,Unit,10
17,MD01-02-05-002,DRAWER DOOR,MD01-02-05-000SA_R1] DOOR+WIRE ROUTING COVER,AISI 1020,POWDER COATING,175003.73,1,0.68,6.8,Unit,10
18,DD01-03-65-003,"G-3,7&4,8 FUNNEL TOP COVER",DD01-03-65-000SA_R3] ROBOT TOP LED,AISI 1020,IVORY POWDER COATING,133230.62,1,0.52,2.08,Unit,4
19,DD01-03-65-011,TOP JUNCTION BOX BODY,DD01-03-65-000SA_R3] ROBOT TOP LED,AISI 1020,IVORY POWDER COATING,195905.8,1,0.76,1.52,Unit,2
20,DD01-03-65-031,WIRE COVER,DD01-03-65-000SA_R3] ROBOT TOP LED,AISI 1020,IVORY POWDER COATING,75424.4,1,0.29,0.58,Unit,2
21,ST04-00-02-002_R1,EM LOCK KEEPER CLAMP,ST04-00-02-000SA_R1] FACILITY PSR DOOR,AISI 1020,BLACK POWDER COATING,26344.96,1,0.1,2,Unit,20
22,DD01-04-85-004,BACK LEFT DOOR,DD01-04-85-000SA] BACK LEFT DOOR ASSEMBLY,AISI 1020,IVORY POWDER COAT,986705.24,1,3.83,7.66,Unit,2
23,DD01-04-86-001,BACK RIGHT DOOR,DD01-04-86-000SA] BACK RIGHT DOOR ASSEMBLY,AISI 1020,IVORY POWDER COAT,979958.97,1,3.81,7.62,Unit,2
24,DD01-04-35-016,PROTECTION  COVER,DD01-04-35-000SA] ELECTRICAL ASSEMBLY,AISI 1020,BLUE POWDER COAT,143855.49,1,0.55,1.1,Unit,2
25,DD01-03-36-005,STRUCTURE SUPPORTING RIB 2,DD01-04-36-000SA] SIDE COVER ASSEMBLY,AISI 1020,IVORY POWDER COAT,91807.77,1,0.36,2.88,Unit,8
26,DD01-04-36-001,STRUCTURE COVER 1,DD01-04-36-000SA] SIDE COVER ASSEMBLY,AISI 1020,IVORY POWDER COAT,1467847.74,1,5.75,23,Unit,4
27,DD01-04-36-010,STRUCTURE COVER 1 - RIB 1,DD01-04-36-000SA] SIDE COVER ASSEMBLY,AISI 1020,IVORY POWDER COAT,78295.5,1,0.3,1.2,Unit,4
28,DD01-04-36-011,STRUCTURE COVER 1 - RIB 2,DD01-04-36-000SA] SIDE COVER ASSEMBLY,AISI 1020,IVORY POWDER COAT,33875.64,1,0.13,0.52,Unit,4
29,DD01-00-36-004,STRUCTURE SUPPORTING RIB 1,DD01-04-36-000SA] SIDE COVER ASSEMBLY,AISI 1020,IVORY POWDER COAT,122227.2,1,0.47,3.76,Unit,8
30,DD01-01-35-012,MCB MOUNTING CLAMP,DD01-04-30-000SA_R3] ROBOT FRAME STRUCTURE,AISI 1020,IVORY POWDER COAT,15365.54,1,0.06,0.12,Unit,2
31,DD01-03-30-047,WIRE-DUCT-L-2,DD01-04-30-000SA_R3] ROBOT FRAME STRUCTURE,AISI 1020,BLUE POWDER COAT,60272.4,1,0.23,0.46,Unit,2
32,DD01-00-35-015,MCB MTG BRACKET,DD01-04-30-000SA_R3] ROBOT FRAME STRUCTURE,AISI 1020,IVORY POWDER COAT,12218.71,1,0.05,0.1,Unit,2
33,ST03-10-01-008,PSR TOP COVER WITH LOGO,ST03-10-01-000SA] PSR STRUCTURE ASSEMBLY,AISI 1020,BLACK POWDER COATING,60881.18,1,0.24,3.84,Unit,16
34,ST03-10-00-005,PSR BOTTOM WIRE COVER,ST03-10-00-000MA] PSR STRUCTURE ASSEMBLY,AISI 1020,BLACK POWDER COAT,132833.57,1,0.52,8.32,Unit,16
35,DD01-03-50-129,WIRE DUCT COVER 1 25X30 (L=350 MM),DD01-04-50-000SA_R4] Robot Trolley,AISI 1020,BLUE POWDER COAT,34239.45,1,0.13,0.26,Unit,2
36,DD01-03-50-145,WIRE DUCT COVER 9 25X30 (L=100 MM),DD01-04-50-000SA_R4] Robot Trolley,AISI 1020,BLUE POWDER COAT,7667.94,1,0.03,0.12,Unit,4
37,DD01-04-50-118_R3,WIRE DUCT COVER REAR 47x35 (L=680MM),DD01-04-50-000SA_R4] Robot Trolley,AISI 1020,BLUE POWDER COAT,80709.77,1,0.31,0.62,Unit,2
