Sr No,Product Name,,BoM,Material,Surface Finish,Surface Area(mm2),Thickness(mm),Unit Weight(kg),Total Weight(kg),UoM,Quantity
1,SC09-03-52-017_R3,PACK PLATE SPACER 1,"SC09-03-52-000SA_R6] PACK PLATE ASSEMBLY, SC09-03-52-000SA_R7] PACK PLATE ASSEMBLY",AISI 316 Annealed Stainless Steel Bar (SS),BUFFING,725.56,0,0,0,Unit,80
,,,,,,,,,,,
2,DD01-04-20-001_R2,SMALL HOPPER DOOR 1,DD01-04-20-000SA_R3] SMALL HOPPER - BOTTOM-1,AISI 316 Annealed Stainless Steel Bar (SS),STANDARD,47487.52,0.6,0.11,0.22,Unit,2
3,DD01-04-20-010_R1,SMALL HOPPER DOOR 2,DD01-04-20-000SA_R3] SMALL HOPPER - BOTTOM-1,AISI 316 Annealed Stainless Steel Bar (SS),STANDARD,47487.52,0.6,0.11,0.22,Unit,2
4,DD01-04-46-024_R1,MID PF TRAY BOTTOM DOOR,"DD01-04-75-000SA_R2] Middle PF Left Block, DD01-04-76-000SA_R2] MIDDLE PF RIGHT BLOCK",AISI 316 Annealed Stainless Steel Bar (SS),STANDARD,243761.03,0.6,0.57,2.28,Unit,4
5,DD01-04-46-025_R1,MID PF TRAY TOP DOOR-LEFT,"DD01-04-75-000SA_R2] Middle PF Left Block, DD01-04-76-000SA_R2] MIDDLE PF RIGHT BLOCK",AISI 316 Annealed Stainless Steel Bar (SS),STANDARD,238809.96,0.6,0.56,2.24,Unit,4
6,DD01-04-40-003_R3,TOP PF DOOR-2,DD01-04-40-000SA_R6] GANTRY PF TRAY,AISI 316 Annealed Stainless Steel Bar (SS),STANDARD,43311.61,0.6,0.1,0.2,Unit,2
,,,,,,,,,,,
7,PR05-15-15-010,SENSOR CLAMP,PR05-15-15-000SA] REJECTION MECHANISM,AISI 316 Annealed Stainless Steel Bar (SS),STANDARD,2792.9,1.2,0.01,0.02,Unit,2
8,PR05-07-19-013,MEGNATE CLAMP,PR05-15-20-000SA_R1] S-PART ASSEMBLY,AISI 316 Annealed Stainless Steel Bar (SS),STANDARD,4015.12,1.2,0.02,0.04,Unit,2
9,PR05-15-20-002_R1,PAPER GUIDE PLATE,PR05-15-20-000SA_R1] S-PART ASSEMBLY,AISI 316 Annealed Stainless Steel Bar (SS),MIRROR FINISH,172013.27,1.2,0.82,1.64,Unit,2
10,DD01-04-46-051_R1,PROTECTION GAURD-2,DD01-04-46-000SA_R5] 50X50 MID PF TRAY,AISI 316 Annealed Stainless Steel Bar (SS),STANDARD,184718.51,1.2,0.87,1.74,Unit,2
11,DD01-04-48-026_R1,BOTTOM PF TRAY GUARD,DD01-04-48-000SA_R5] BOTTOM PF TRAY,AISI 316 Annealed Stainless Steel Bar (SS),STANDARD,187287.24,1.2,0.88,1.76,Unit,2
12,DD01-04-46-050,PROTECTION GUARD-1,DD01-04-46-000SA_R5] 50X50 MID PF TRAY,AISI 316 Annealed Stainless Steel Bar (SS),STANDARD,230562.62,1.2,1.09,2.18,Unit,2
,,,,,,,,,,,
13,DD01-04-46-075_R1,BLOCKS CONNECTING PART-COVER,DD01-04-46-000SA_R5] 50X50 MID PF TRAY,AISI 316 Annealed Stainless Steel Bar (SS),STANDARD,33662.64,1.5,0.19,0.38,Unit,2
14,DD01-04-46-106_R4,PILL COLLECTOR,DD01-04-46-000SA_R5] 50X50 MID PF TRAY,AISI 316 Annealed Stainless Steel Bar (SS),STANDARD,34498.92,1.5,0.2,0.4,Unit,2
,,,,,,,,,,,
15,DD01-00-45-014,Cover Holding Clamp,DD01-04-46-000SA_R5] 50X50 MID PF TRAY,AISI 316 Annealed Stainless Steel Bar (SS),BUFFING,662.41,2,0,0,Unit,20
,,,,,,,,,,,
16,DD01-04-27-002,REJECTION BUCKET FLANGE,DD01-04-27-000SA_R2] REJECTION MECHANISM GEAR,AISI 316 Annealed Stainless Steel Bar (SS),STANDARD,4791.36,3,0.04,0.08,Unit,2
17,DD01-04-27-003,REJECTION BUCKET FLANGE,DD01-04-27-000SA_R2] REJECTION MECHANISM GEAR,AISI 316 Annealed Stainless Steel Bar (SS),STANDARD,4791.36,3,0.04,0.08,Unit,2
18,DD01-04-27-008,SENSOR MTG SANDWICH PLATE,DD01-04-27-000SA_R2] REJECTION MECHANISM GEAR,AISI 316 Annealed Stainless Steel Bar (SS),STANDARD,1290.2,3,0.01,0.06,Unit,6
19,DD01-04-27-001_R1,REJECTION MECHNAISM GUIDE PART,DD01-04-27-000SA_R2] REJECTION MECHANISM GEAR,AISI 316 Annealed Stainless Steel Bar (SS),STANDARD,126377.3,3,1.42,2.84,Unit,2
